id,label,parent,family,founder,founded,ancestry,n_people,aliases
kobayashi-shorin-ryu,Kobayashi Shorin-Ryu,shorin-ryu,shuri-te,Chōshin Chibana,1933,Kobayashi Shorin-Ryu < Shorin-Ryu < Shuri-te < Te,35,Kobayashi Shorin-Ryu; Kobayashi Shorin-ryu Karate; Kobayashi-ryu; KobayashiShorin-ryu; Shorin-ryu Kobayashi
kokusai-genseiryu-renmei,"Kokusai Genseiryū Karatedō Renmei (国際玄制流空手道連盟, International Gensei-ryu Karate-do Federation)",genseiryu,shuri-te,,1959,"Kokusai Genseiryū Karatedō Renmei (国際玄制流空手道連盟, International Gensei-ryu Karate-do Federation) < Genseiryū < Shuri-te < Te",0,
kokusai-okinawa-kobayashi-ryu-renmei,International Okinawa Kobayashi-ryū Karate-dō Federation (国際沖縄小林流空手道連盟),kobayashi-shorin-ryu,shuri-te,Kakihana Keishun 垣花恵春 (chair) and Masanobu Kikukawa 喜久川政信 (executive director),2012,International Okinawa Kobayashi-ryū Karate-dō Federation (国際沖縄小林流空手道連盟) < Kobayashi Shorin-Ryu < Shorin-Ryu < Shuri-te < Te,0,
koshiki-karatedo,Kōshiki Karatedō,shorinjiryu-kenkokan,shuri-te,"Masayuki Kukan Hisataka (competition system with Supersafe protective equipment, open to all styles; World Koshiki Karatedo Federation)",1979,Kōshiki Karatedō < Shorinjiryu Kenkokan < Shorin-Ryu < Shuri-te < Te,1,Koshiki Contact Karate; Kōshiki Karatedō; WKKF; World Koshiki Karatedo Federation
kyudokan-kenshikai,Okinawa Shōrin-ryū Kyūdōkan Kenshikai (沖縄小林流究道館拳士会),shorin-ryu-kyudokan,shuri-te,Yoshimasa Kakazu,,Okinawa Shōrin-ryū Kyūdōkan Kenshikai (沖縄小林流究道館拳士会) < Shorin-Ryu Kyudokan < Kobayashi Shorin-Ryu < Shorin-Ryu < Shuri-te < Te,0,Okinawa Shōrin-ryū Kyūdōkan Kenshikai (沖縄小林流究道館拳士会); 沖縄小林流究道館拳士会
matsubayashi-ryu,Matsubayashi-Ryu,shorin-ryu,shuri-te,Shōshin Nagamine,1947,Matsubayashi-Ryu < Shorin-Ryu < Shuri-te < Te,27,Matsubayashi-Ryu; World Matsubayashi-ryu; shogen-ryu
matsumura-kenpo,Shōrin-ryū Matsumura Kenpō,matsumura-seito,shuri-te,Yuichi Kuda (student of Hōhan Sōken and Shigeru Nakamura),,Shōrin-ryū Matsumura Kenpō < Matsumura Seito Shorin-Ryu < Shorin-Ryu < Shuri-te < Te,2,All Okinawa Shorin-ryu Matsumura Karate and Kobudo Association; Matsumura Kenpo Hozon Kyokai; Matsumura Kenpo Shorin-ryu Karate Kobudo Federation; Shōrin-ryū Matsumura Kenpō
matsumura-seito,Matsumura Seito Shorin-Ryu,shorin-ryu,shuri-te,Hōhan Sōken,1952,Matsumura Seito Shorin-Ryu < Shorin-Ryu < Shuri-te < Te,22,Kenshinkan; Konan-ryu; Matsumura Kenpo Shorin-ryu; Matsumura Orthodox Shorin-ryu; Matsumura Seito Hakutsuru; Matsumura Seito Shorin-ryu; Shorin Ryu Matsumura Seito Karate
matsusokan,Okinawa Matsusōkan Dentō Karate Kyōkai (沖縄松祖館伝統空手協会),matsumura-seito,shuri-te,Takaya Yabiku 屋比久孝也,,Okinawa Matsusōkan Dentō Karate Kyōkai (沖縄松祖館伝統空手協会) < Matsumura Seito Shorin-Ryu < Shorin-Ryu < Shuri-te < Te,0,
motobu-ryu,Motobu-Ryu,shuri-te,shuri-te,Motobu Chōki,1922,Motobu-Ryu < Shuri-te < Te,10,Motobu-Ryu; Motoburyu; Nihon Denryu Hyoho Motobu Kenpo; motobu-ryu; motoburyu
motobu-ryu-kobujutsu-kyokai,Motobu-ryū Kobujutsu Kyōkai (本部流古武術協会),motobu-udundi,shuri-te,"Uehara Seikichi (上原清吉, 1904-2004)",1961,Motobu-ryū Kobujutsu Kyōkai (本部流古武術協会) < Motobu Udundi < Te,0,
motobu-udundi,Motobu Udundi,te,shuri-te,"Motobu Chōhei (1st sōke, 17th century)",,Motobu Udundi < Te,22,Moidi; Motobu Udun Di; Motobu Udun Dī; Motobu Udundi; Motobu Udundi bojutsu; Motobu-ryu Udundi; Motobu-ryū Udundī; Udundi; motobu-udundi; 本部御殿手
motobu-udundi-kobujutsu-kyokai,Motobu Udundi Kobujutsu Kyōkai (本部御殿手古武術協会),motobu-udundi,shuri-te,,1970,Motobu Udundi Kobujutsu Kyōkai (本部御殿手古武術協会) < Motobu Udundi < Te,0,Motobu Udundi Kobujutsu Kyōkai (本部御殿手古武術協会); 本部御殿手古武術協会
motobu-udundi-kyokai,Okinawa Motobu Udundi Karate Kobudō Kyōkai (沖縄本部御殿手空手古武道協会),motobu-udundi,shuri-te,,2012,Okinawa Motobu Udundi Karate Kobudō Kyōkai (沖縄本部御殿手空手古武道協会) < Motobu Udundi < Te,0,Okinawa Motobu Udundi Karate Kobudō Kyōkai (沖縄本部御殿手空手古武道協会); 沖縄本部御殿手空手古武道協会
motobu-udundi-moidi-shiroma-ha,Motobu Ryūkyū Kobujutsu Moidi (Shiroma-ha),motobu-udundi,shuri-te,"Shiroma Seihan / Kiyonori (城間清範, 1941-2012)",,Motobu Ryūkyū Kobujutsu Moidi (Shiroma-ha) < Motobu Udundi < Te,0,
ogasawara-ha-shorinji-ryu,Ogasawara-ha Shōrinji-ryū (Sakugawa Koshiki Shōrinji-ryū),shuri-te,shuri-te,"Ogasawara Jirō (per school tradition, from Hanashiro Chōmo, 1926); organised internationally by Thomas Cauley",,Ogasawara-ha Shōrinji-ryū (Sakugawa Koshiki Shōrinji-ryū) < Shuri-te < Te,0,Ogasawara-ha Shorinji Ryu Karatedo; Ogasawara-ha Shōrinji-ryū (Sakugawa Koshiki Shōrinji-ryū); Sakugawa Koshiki Shorinji-ryu; Sakugawa Koshin-ryu
okinawa-kenpo,Okinawa Kenpō,shuri-te,shuri-te,Shigeru Nakamura,1953,Okinawa Kenpō < Shuri-te < Te,11,Nakamura-ha; Oki-Ken-Kai; Okinawa Kempo; Okinawa Kenpo; Okinawa Kenpo Karate-do Renmei; Okinawa Kenpō Karate-dō; Okinawan Kenpo; okinawa-kenpo; ryukyu-kempo
oto-ryu,Ōtō-ryū (王統流),shuri-te,shuri-te,,,Ōtō-ryū (王統流) < Shuri-te < Te,1,Ōtō-ryū (王統流); 王統流
renbukan,Renbukan (錬武舘),kanbukan,shuri-te,,1951,Renbukan (錬武舘) < Kanbukan (韓武舘) < Shudokan < Shuri-te < Te,0,Renbukan (錬武舘)
risshikan,Shōrin-ryū Risshikan (立志館),shorin-ryu,shuri-te,Kiyuna Chōkō,,Shōrin-ryū Risshikan (立志館) < Shorin-Ryu < Shuri-te < Te,1,Shōrin-ryū Risshikan (立志館); 立志館
ryu-te,Ryū-te,okinawa-kenpo,shuri-te,Seiyū Oyata,1995,Ryū-te < Okinawa Kenpō < Shuri-te < Te,7,Oyata Shin Shū Ho; RyuTe; RyuTe Renmei; Ryukyu Kempo (Oyata); Ryūkyū Kempo (Oyata line); ryu-te; tuite
ryukyu-hon-kenpo,Ryūkyū Hon Kenpō Kobujutsu,okinawa-kenpo,shuri-te,Seikichi Odo,1998,Ryūkyū Hon Kenpō Kobujutsu < Okinawa Kenpō < Shuri-te < Te,1,Okinawa Kenpo Karate Kobudo; Ryukyu Hon Kenpo; Ryūkyū Hon Kenpō Kobujutsu
ryukyu-shorin-ryu-gesshinkai,Ryūkyū Shōrin-ryū Karate-dō Gesshinkai (琉球少林流空手道 月心会),shorin-ryu-seibukan,shuri-te,Okada Toshirō 岡田俊郎,2006,Ryūkyū Shōrin-ryū Karate-dō Gesshinkai (琉球少林流空手道 月心会) < Shorin-Ryu Seibukan < Shorin-Ryu < Shuri-te < Te,0,
seidokan,Seidokan,shorin-ryu,shuri-te,Shian Toma,1984,Seidokan < Shorin-Ryu < Shuri-te < Te,12,Dentokan; Ryukoku Seidokan Karate Kobudo Renmei; Seidokan; Seidokan Motobu-ryu; Zen Okinawa Seidokan Karate Kobudo
shobayashi-shorin-ryu,Shobayashi Shorin-Ryu,shorin-ryu,shuri-te,Eizō Shimabukuro (lineage of Chōtoku Kyan),,Shobayashi Shorin-Ryu < Shorin-Ryu < Shuri-te < Te,6,Shaolin Shorin-ryu; Shobayashi Shorin-ryu; Shobayashi-ryu; Shorin-ryu (Sukunai Hayashi); Zen Nippon Okinawa Shobayashi-ryu Karatedo Kokusai Renmei
shogen-ryu,Shōgen-ryū,matsubayashi-ryu,shuri-te,Kensei Taba,2000,Shōgen-ryū < Matsubayashi-Ryu < Shorin-Ryu < Shuri-te < Te,0,Okinawa Shogen-ryu Karate-do Association; Shogen-Ryu Karate-Do; Shōgen-ryū
shorin-ryu,Shorin-Ryu,shuri-te,shuri-te,Chōshin Chibana (named the style 1933; lineage of Sokon Matsumura's Shuri-te),1933,Shorin-Ryu < Shuri-te < Te,69,Jindokai; Shorin-Ryu; Shorin-ryu; Shorin-ryu Shinkokai; shorinryu; tozan-ryu
shorin-ryu-butokukan,Okinawa Karate-dō Shōrin-ryū Butokukan Kyōkai (沖縄空手道小林流武徳館協会),kobayashi-shorin-ryu,shuri-te,Gibu Sokuichi 儀武息一,1991,Okinawa Karate-dō Shōrin-ryū Butokukan Kyōkai (沖縄空手道小林流武徳館協会) < Kobayashi Shorin-Ryu < Shorin-Ryu < Shuri-te < Te,0,
shorin-ryu-kishaba-juku,Shorin-Ryu Kishaba Juku,matsubayashi-ryu,shuri-te,Chōkei Kishaba,1998,Shorin-Ryu Kishaba Juku < Matsubayashi-Ryu < Shorin-Ryu < Shuri-te < Te,3,Kishaba Juku; Okinawa Karate-do Shorin-ryu Kishaba Juku; Shorin-ryu Kishaba Juku
shorin-ryu-kyudokan,Shorin-Ryu Kyudokan,kobayashi-shorin-ryu,shuri-te,Yūchoku Higa,1947,Shorin-Ryu Kyudokan < Kobayashi Shorin-Ryu < Shorin-Ryu < Shuri-te < Te,10,Kaicho of Kyudokan; Shorin Ryu Kyudokan; Shorin-ryu Kyudokan
shorin-ryu-myobukan,Okinawa Shōrin-ryū Karate-dō Myōbukan (沖縄小林流空手道妙武館),kobayashi-shorin-ryu,shuri-te,Matsuda Yoshimasa 松田芳正,,Okinawa Shōrin-ryū Karate-dō Myōbukan (沖縄小林流空手道妙武館) < Kobayashi Shorin-Ryu < Shorin-Ryu < Shuri-te < Te,0,
shorin-ryu-reihokan,Shorin-Ryu Reihokan,kobayashi-shorin-ryu,shuri-te,Naonobu Ahagon,1991,Shorin-Ryu Reihokan < Kobayashi Shorin-Ryu < Shorin-Ryu < Shuri-te < Te,1,International Shorin-ryu Reihokan Association; Shorin-Ryu Reihokan
shorin-ryu-ryukyukan,Okinawa Karate-dō Shōrin-ryū Ryūkyūkan Karate Kobudō Renmei (沖縄空手道小林流竜球館空手古武道連盟),kobayashi-shorin-ryu,shuri-te,Nohara Kōei 野原耕栄,1982,Okinawa Karate-dō Shōrin-ryū Ryūkyūkan Karate Kobudō Renmei (沖縄空手道小林流竜球館空手古武道連盟) < Kobayashi Shorin-Ryu < Shorin-Ryu < Shuri-te < Te,0,
shorin-ryu-seibukan,Shorin-Ryu Seibukan,shorin-ryu,shuri-te,Zenryō Shimabukuro (lineage of Chōtoku Kyan),1962,Shorin-Ryu Seibukan < Shorin-Ryu < Shuri-te < Te,11,Okinawa Shorin-ryu Seibukan Karate-do Association; Seibukan Shorin-Ryu; Shorin-ryu Seibukan; Sukunaihayashi; Sukunaihayashi Shorin-ryu
shorin-ryu-shidokan,Shorin-Ryu Shido-kan,kobayashi-shorin-ryu,shuri-te,Katsuya Miyahira,1948,Shorin-Ryu Shido-kan < Kobayashi Shorin-Ryu < Shorin-Ryu < Shuri-te < Te,7,Shorin-ryu Shido-kan
shorin-ryu-shinkokai,Okinawa Shōrin-ryū Karate Shinkōkai (沖縄小林流空手振興会),kobayashi-shorin-ryu,shuri-te,Masanobu Kikukawa 喜久川政信 with Tatsunori Azuma,1985,Okinawa Shōrin-ryū Karate Shinkōkai (沖縄小林流空手振興会) < Kobayashi Shorin-Ryu < Shorin-Ryu < Shuri-te < Te,0,
shorin-ryu-shorinkan,Shorin-Ryu Shorinkan,kobayashi-shorin-ryu,shuri-te,Shūgorō Nakazato,1975,Shorin-Ryu Shorinkan < Kobayashi Shorin-Ryu < Shorin-Ryu < Shuri-te < Te,12,First member dojo of Shorin-ryu Shorinkan; List of Shorin-ryu Shorinkan; Shorin-ryu Shorinkan; Shorinkan; shorinkan; shorinryushorinkan
shorin-ryu-shubukan,Shorin-Ryu Shubukan,kobayashi-shorin-ryu,shuri-te,Jōki Uema,1962,Shorin-Ryu Shubukan < Kobayashi Shorin-Ryu < Shorin-Ryu < Shuri-te < Te,4,Shorin Ryu Shubukan
shorinji-ryu,Shorinji-Ryu,shorin-ryu,shuri-te,Jōen Nakazato (lineage of Chōtoku Kyan),1954,Shorinji-Ryu < Shorin-Ryu < Shuri-te < Te,9,Shorinji-Ryu; Shorinji-ryu; Shorinjiryu; shorinjiryu
shorinji-ryu-gudokan,Shōrinji-ryū Gudōkan (全沖縄少林寺流空手道協会 求道館),shorinji-ryu,shuri-te,,,Shōrinji-ryū Gudōkan (全沖縄少林寺流空手道協会 求道館) < Shorinji-Ryu < Shorin-Ryu < Shuri-te < Te,0,Shōrinji-ryū Gudōkan (全沖縄少林寺流空手道協会 求道館); 全沖縄少林寺流空手道協会 求道館
shorinji-ryu-renshinkan,Shorinji-Ryu Renshinkan,shorin-ryu-seibukan,shuri-te,Isamu Tamotsu,1955,Shorinji-Ryu Renshinkan < Shorin-Ryu Seibukan < Shorin-Ryu < Shuri-te < Te,4,Kokusai Shorinjiryu Karatedo Renmei; Shorinji-ryu Renshinkan; Shorinjiryu Karate-do Renshinkan
shorinjiryu-kenkokan,Shorinjiryu Kenkokan,shorin-ryu,shuri-te,Kōri Hisataka (Kudaka),1945,Shorinjiryu Kenkokan < Shorin-Ryu < Shuri-te < Te,6,Kenkokan; Shorinjiryu Kenkokan; Shorinjiryu Kenkokan Karate; Shorinjiryu Kenkokan Karatedo
shorinjiryu-kenyukai,Shorinjiryu Kenyukai,shorinjiryu-kenkokan,shuri-te,Shunji Watanabe,1973,Shorinjiryu Kenyukai < Shorinjiryu Kenkokan < Shorin-Ryu < Shuri-te < Te,2,Kenyukai Watanabe-ha; Shorinjiryu Kenyukai Karatedo Federation; Shorinjiryu Kenyukai Watanabe Ha Karate
shudokan,Shudokan,shuri-te,shuri-te,Kanken Tōyama,1930,Shudokan < Shuri-te < Te,10,Shudokan; Shudokan Karate; Toyama-ryu karate
shuri-ryu,Shuri-Ryu,shuri-te,shuri-te,Robert Trias,1946,Shuri-Ryu < Shuri-te < Te,2,Shuri-ryu; Shuri-ryu Karate; USKA karate; United States Karate Association line
shuri-te,Shuri-te,te,shuri-te,,,Shuri-te < Te,35,Okinawan martial artsShuri-te; Shuri-te
taido,Taidō,genseiryu,shuri-te,Shukumine Seiken,1965,Taidō < Genseiryū < Shuri-te < Te,3,taido; 躰道
tozan-ryu,Tōzan-ryū Shindōkan,shorin-ryu,shuri-te,"Kaneshima Shinsuke (student of Motobu Chōki, then Tōyama Chōgi in Taiwan, after whom the style is named)",,Tōzan-ryū Shindōkan < Shorin-Ryu < Shuri-te < Te,0,Shindokan; Tozan-ryu; Tozan-ryu Shindokan; Tōzan-ryū Shindōkan
ueshiro-shorin-ryu,Ueshiro Shōrin-ryū Karate USA,matsubayashi-ryu,shuri-te,Ansei Ueshiro,1962,Ueshiro Shōrin-ryū Karate USA < Matsubayashi-Ryu < Shorin-Ryu < Shuri-te < Te,2,SRKUSA; Shorin-Ryu Karate USA; Ueshiro Shorin-Ryu; Ueshiro Shōrin-ryū Karate USA
world-oshukai-karate,World Ōshūkai Okinawa Shōrin-ryū Karate-dō (Chinen Kenyū line),kobayashi-shorin-ryu,shuri-te,Chinen Kenyū,1993,World Ōshūkai Okinawa Shōrin-ryū Karate-dō (Chinen Kenyū line) < Kobayashi Shorin-Ryu < Shorin-Ryu < Shuri-te < Te,0,
world-taido-federation,World Taido Federation (世界躰道連盟),taido,shuri-te,Seiken Shukumine,1983,World Taido Federation (世界躰道連盟) < Taidō < Genseiryū < Shuri-te < Te,0,
zentokukai,Okinawa Shōrin-ryū Zentokukai Karatedō Association,shorin-ryu-seibukan,shuri-te,"Tim Rodgers, with Angel Lemus, Jim Pizii and Walter Dailey",1997,Okinawa Shōrin-ryū Zentokukai Karatedō Association < Shorin-Ryu Seibukan < Shorin-Ryu < Shuri-te < Te,0,
bugeikan,Bugeikan,te,te,Higa Seitoku,1951,Bugeikan < Te,3,Bugeikan; Iso Bugeikan; Okinawa Dento Bugeikan; bugeikan
honshin-ryu,Honshin-ryū,te,te,"Miyagi Masakazu (codified; tradition of Kuniyoshi Shinkichi via Nakamura Heisaburō, whom Miyagi succeeded in 1975)",,Honshin-ryū < Te,3,Honshin ryu; Honshin-ryu Karate Kobudo Hozon Kai; Honshin-ryū
kojo-ryu,Kojō-ryū,te,te,"Kojō Uēkata (Cai Zhaogong, 1656–1737)",1700,Kojō-ryū < Te,16,Kojo-ryu; Kojō-ryū; Koshokan
kojo-ryu-rinzankai,Okinawa-den Kojō-ryū Karatedō Rinzankai (沖縄傳湖城流空手道林山会),kojo-ryu,te,Hayashi Shingo 林伸伍,,Okinawa-den Kojō-ryū Karatedō Rinzankai (沖縄傳湖城流空手道林山会) < Kojō-ryū < Te,0,Okinawa-den Kojō-ryū Karatedō Rinzankai (沖縄傳湖城流空手道林山会); 沖縄傳湖城流空手道林山会
te,Te,,te,,,Te,285,Okinawa-te; Te; Tode; Tote
matsumora-ryu,Matsumora-ryū (Yara Chōi line),tomari-te,tomari-te,"Yara Chōi 屋良朝意 (1915–2014), from the tradition of Kuba Chōjin",,Matsumora-ryū (Yara Chōi line) < Tomari-te < Te,0,
tomari-te,Tomari-te,te,tomari-te,,,Tomari-te < Te,23,Matsumora-type Tomari-te; Tomari-te; tomarite
iukf,International Uechi-ryū Karate Federation (IUKF),uechi-ryu,uechi-ryu,George E. Mattson,,International Uechi-ryū Karate Federation (IUKF) < Uechi-Ryu < Pangai-noon,1,
konan-ryu,Kōnan-ryū,uechi-ryu,uechi-ryu,Itokazu Seiki (with Kinjō Takashi),1978,Kōnan-ryū < Uechi-Ryu < Pangai-noon,2,Kōnan-ryū; Pangainoon-ryu (Itokazu)
okinawa-kobu-ryu,Okinawa Kōbu-ryū Karate-dō Kobudō Kōbukai (沖縄孝武流空手道古武道孝武会),konan-ryu,uechi-ryu,Kinjō Takashi 金城孝,,Okinawa Kōbu-ryū Karate-dō Kobudō Kōbukai (沖縄孝武流空手道古武道孝武会) < Kōnan-ryū < Uechi-Ryu < Pangai-noon,0,
pangai-noon,Pangai-noon,,uechi-ryu,Zhou Zihe (Shū Shiwa),1900,Pangai-noon,0,Pangai-noon; Pangai-noon-ryū Karate-jutsu; Pangainoon; Pangainoon-ryu; Pangainun; Pwan Gai Noon; Pwangainoon; 半硬軟
shohei-ryu,Shōhei-ryū (Okikukai),uechi-ryu,uechi-ryu,senior students of Uechi Kan'ei (including Tomoyose Ryūkō),1991,Shōhei-ryū (Okikukai) < Uechi-Ryu < Pangai-noon,5,Okikukai; Okinawa Karate-do Kyokai; Okinawa Karatedō Kyōkai; Shōhei-ryū (Okikukai); Shōhei-ryū (name reverted to Uechi-ryū on 18 September 2016); 沖空会
uechi-ryu,Uechi-Ryu,pangai-noon,uechi-ryu,Uechi Kanbun,1932,Uechi-Ryu < Pangai-noon,34,Kenyukai Uechi-Ryu; Uechi Kan; Uechi-Ryu; Uechiryu; pangai-noon; uechi-ryu; uechiryu
uechi-ryu-hankonan-kyokai,"Uechi-ryū Karatedō Han-Kōnan Kyōkai (上地流空手道半硬軟協会, Kōyōkan)",uechi-ryu,uechi-ryu,Itokazu Seikō 糸数盛光,,"Uechi-ryū Karatedō Han-Kōnan Kyōkai (上地流空手道半硬軟協会, Kōyōkan) < Uechi-Ryu < Pangai-noon",0,"Uechi-ryū Karatedō Han-Kōnan Kyōkai (上地流空手道半硬軟協会, Kōyōkan); 上地流空手道半硬軟協会"
uechi-ryu-karate-do-kyokai,Uechi-ryū Karate-dō Association,uechi-ryu,uechi-ryu,Uechi Kan'ei (continued by the Uechi family sōke line after the 1991 split),,Uechi-ryū Karate-dō Association < Uechi-Ryu < Pangai-noon,2,"Sōke line (Uechi Kanmei, then Uechi Sadanao); Uechi-ryū Karate-dō Association; Uechi-ryū Karate-dō Kyōkai; 上地流空手道協会"
uechi-ryu-kenseikai,Uechi-ryū Kenseikai,uechi-ryu,uechi-ryu,Senaga Yoshitsune,,Uechi-ryū Kenseikai < Uechi-Ryu < Pangai-noon,0,Kenseikai; Tomigusuku Shūbukan; Uechi-ryū Kenseikai; 拳誠会
uechi-ryu-kenyukai,Uechi-ryū Kenyūkai,uechi-ryu,uechi-ryu,Shinjō Kiyohide,1981,Uechi-ryū Kenyūkai < Uechi-Ryu < Pangai-noon,1,International Kenyukai Association; Kenyukai; Uechi-ryū Kenyūkai
uechi-ryu-shubukai,Nihon Karate-dō Uechi-ryū Shūbukai (日本空手道上地流修武会),uechi-ryu,uechi-ryu,Araki Satoru 新木覺 (1927-2008),1967,Nihon Karate-dō Uechi-ryū Shūbukai (日本空手道上地流修武会) < Uechi-Ryu < Pangai-noon,0,
uechi-ryu-shureikai,"Uechi-ryū Shureikai (上地流守礼会), honbu Uechi-ryū Karate-dō Shintoshin Shureikan",uechi-ryu,uechi-ryu,Maeshiro Shusei 真栄城守成,,"Uechi-ryū Shureikai (上地流守礼会), honbu Uechi-ryū Karate-dō Shintoshin Shureikan < Uechi-Ryu < Pangai-noon",0,
uechi-ryu-zankai,Uechi-ryū Zankai,uechi-ryu,uechi-ryu,Toyama Seiko,1998,Uechi-ryū Zankai < Uechi-Ryu < Pangai-noon,2,Okinawa Karate-dō Uechi-ryū Zankyōkai; Uechi-ryū Zankai; Zakimi Shūbukan; Zankyōkai
